Data;PIB_precos_de_mercado;PIB_precos_de_mercado.dessaz
jan/00;103,034;108,637
fev/00;106,102;109,283
mar/00;110,074;109,373
abr/00;107,484;108,579
mai/00;111,831;110,443
jun/00;111,449;111,676
jul/00;113,474;111,957
ago/00;116,074;112,315
set/00;113,009;111,703
out/00;115,447;113,13
nov/00;115,083;113,144
dez/00;111,423;114,453
jan/01;108,379;113,113
fev/01;107,061;113,352
mar/01;114,862;112,648
abr/01;111,675;112,839
mai/01;114,679;113,253
jun/01;112,103;112,868
jul/01;114,852;112,745
ago/01;116,509;112,67
set/01;112,776;112,678
out/01;115,558;112,369
nov/01;114,577;112,686
dez/01;109,999;113,459
jan/02;109,075;113,887
fev/02;109,176;115,685
mar/02;113,627;113,377
abr/02;115,918;114,433
mai/02;115,742;115,166
jun/02;114,576;115,419
jul/02;119,656;116,428
ago/02;120,14;116,752
set/02;118,707;117,625
out/02;122,958;118,808
nov/02;120,144;118,283
dez/02;114,625;117,521
jan/03;111,3;116,105
fev/03;112,485;117,278
mar/03;116,944;117,67
abr/03;116,972;117,167
mai/03;116,66;115,57
jun/03;115,309;116,772
jul/03;119,985;116,512
ago/03;119,422;117,104
set/03;121,341;118,829
out/03;122,953;118,436
nov/03;120,154;118,448
dez/03;116,727;118,449
jan/04;114,053;119,499
fev/04;114,013;120,874
mar/04;125,878;122,704
abr/04;123,156;123,409
mai/04;123,432;123,001
jun/04;124,364;124,531
jul/04;128,437;125,215
ago/04;128,292;125,454
set/04;127,679;126,173
out/04;127,92;126,23
nov/04;128,429;126,875
dez/04;125,829;126,48
jan/05;120,146;126,534
fev/05;118,934;126,212
mar/05;129,673;127,428
abr/05;129,538;129,238
mai/05;128,87;128,39
jun/05;129,144;128,041
jul/05;130,249;128,04
ago/05;132,854;128,744
set/05;129,435;127,984
out/05;129,724;128,443
nov/05;130,293;128,957
dez/05;130,379;130,882
jan/06;125,767;131,119
fev/06;124,27;131,224
mar/06;134,495;131,455
abr/06;129,608;132,088
mai/06;133,984;132,054
jun/06;132,81;132,627
jul/06;135,779;133,756
ago/06;138,803;134,211
set/06;135,592;134,916
out/06;137,043;135,106
nov/06;137,354;136,204
dez/06;134,719;137,212
jan/07;132,566;137,812
fev/07;130,36;138,183
mar/07;141,582;138,505
abr/07;137,864;139,381
mai/07;142,6;140,54
jun/07;141,851;142,347
jul/07;144,618;141,708
ago/07;147,059;142,02
set/07;142,576;143,417
out/07;147,762;144,543
nov/07;145,672;144,532
dez/07;142,847;146,085
jan/08;141,598;147,101
fev/08;140,538;147,341
mar/08;147,279;147,096
abr/08;148,504;147,757
mai/08;149,751;149,51
jun/08;150,819;150,961
jul/08;156,19;151,494
ago/08;154,649;151,37
set/08;153,728;151,264
out/08;154,094;148,89
nov/08;146,326;145,183
dez/08;140,347;141,704
jan/09;135,89;141,744
fev/09;135,504;143,553
mar/09;147,602;145,126
abr/09;144,648;145,584
mai/09;146,965;146,829
jun/09;147,567;147,714
jul/09;152,298;147,66
ago/09;153,514;150,619
set/09;153,354;151,755
out/09;156,28;152,817
nov/09;154,955;153,694
dez/09;153,001;154,6
jan/10;148,127;156,115
fev/10;147,267;155,982
mar/10;162,189;157,781
abr/10;158,543;159,228
mai/10;159,588;158,919
jun/10;158,458;158,464
jul/10;163,384;159,256
ago/10;164,408;160,543
set/10;163,088;161,71
out/10;164,131;162,261
nov/10;164,765;163,474
dez/10;161,751;162,619
jan/11;156,432;164,379
fev/11;157,886;164,259
mar/11;167,036;164,616
abr/11;163,062;164,209
mai/11;169,307;167,167
jun/11;166,622;166,856
jul/11;169,025;166,364
ago/11;171,096;165,723
set/11;168,123;166,623
out/11;168,219;166,785
nov/11;168,876;167,705
dez/11;166,151;167,315
jan/12;159,369;165,919
fev/12;158,826;166,169
mar/12;171,377;166,263
abr/12;164,633;165,609
mai/12;170,866;168,606
jun/12;168,414;169,645
jul/12;174,199;171,16
ago/12;177,679;171,864
set/12;168,999;170,3
out/12;174,649;171,021
nov/12;171,316;170,392
dez/12;169,777;174,481
jan/13;164,982;171,378
fev/13;162,736;171,464
mar/13;175,176;172,678
abr/13;177,521;174,166
mai/13;174,573;173,859
jun/13;172,086;173,775
jul/13;179,481;174,956
ago/13;179,973;175,145
set/13;175,794;175,832
out/13;180,287;175,341
nov/13;176,605;175,976
dez/13;171,891;175,627
jan/14;170,244;176,577
fev/14;171,559;177,147
mar/14;178,538;177,249
abr/14;176,967;175,974
mai/14;176,092;174,918
jun/14;168,839;171,757
jul/14;178,286;173,592
ago/14;177,047;174,057
set/14;176,495;174,53
out/14;180,188;174,575
nov/14;174,592;174,256
dez/14;172,795;174,845
jan/15;167,152;174,114
fev/15;165,178;172,906
mar/15;179,585;174,067
abr/15;172,147;171,24
mai/15;169,126;169,867
jun/15;166,323;167,918
jul/15;171,737;167,185
ago/15;170,209;167,915
set/15;167,211;166,461
out/15;170,282;167,133
nov/15;164,766;164,594
dez/15;163,408;165,033
jan/16;157,234;165,242
fev/16;159,051;164,682
mar/16;169,326;163,907
abr/16;165,414;163,573
mai/16;162,049;162,392
jun/16;163,796;163,81
jul/16;165,55;163,381
ago/16;167,314;162,87
set/16;163,798;163,238
out/16;163,654;162,854
nov/16;163,105;162,955
dez/16;160,426;160,972
jan/17;156,751;162,65
fev/17;158,379;164,257
mar/17;171,851;165,495
abr/17;163,62;165,172
mai/17;166,655;165,412
jun/17;164,853;166,264
jul/17;168,768;166,906
ago/17;170,478;165,67
set/17;165,564;165,765
out/17;167,654;166,115
nov/17;166,734;166,553
dez/17;165,348;168,491
jan/18;162,11;167,933
fev/18;161,025;167,534
mar/18;173,124;168,573
abr/18;171,219;169,837
mai/18;163,383;163,763
jun/18;168,533;169,335
jul/18;172,553;169,633
ago/18;174,953;169,777
set/18;167,688;169,482
out/18;172,299;169,529
nov/18;169,946;169,804
dez/18;165,259;169,056
jan/19;164,244;170,222
fev/19;165,882;169,563
mar/19;170,605;168,835
abr/19;171,292;169,458
mai/19;171,42;170,317
jun/19;166,322;170,293
jul/19;175,074;170,397
ago/19;174,468;169,94
set/19;171,368;171,505
out/19;176,375;172,426
nov/19;171,467;171,461
dez/19;168,259;171,409
jan/20;165,455;171,463
fev/20;166,442;172,157
mar/20;170,906;165,579
abr/20;149,575;149,086
mai/20;150,467;151,838
jun/20;157,387;159,175
jul/20;167,338;162,194
ago/20;167,5;164,83
set/20;170,259;169,12
out/20;172,302;169,879
nov/20;171,012;171,337
dez/20;171,063;172,943
jan/21;164,24;172,96
fev/21;168,397;174,983
mar/21;178,965;171,387
abr/21;172,052;171,057
mai/21;171,192;172,31
jun/21;170,891;172,526
jul/21;176,389;171,425
ago/21;176,351;172,586
set/21;173,637;172,797
out/21;172,496;172,077
nov/21;174,49;175,263
dez/21;174,895;176,183
jan/22;164,395;172,921
fev/22;171,098;175,389
mar/22;183,647;177,213
abr/22;178,221;177,776
mai/22;177,818;177,441
jun/22;176,316;177,814
jul/22;183,66;179,688
ago/22;185,124;179,599
set/22;180,341;179,293
out/22;179,918;180,197
nov/22;178,62;179,956
dez/22;177,401;179,321
jan/23;171,581;179,296
fev/23;176,218;183,085
mar/23;194,413;184,217
abr/23;184,048;185,04
mai/23;185,274;184,617
jun/23;183,531;184,768
jul/23;188,47;184,5
ago/23;189,871;183,978
set/23;183,716;183,6
out/23;183,28;182,918
nov/23;183,674;185,481
dez/23;181,744;187,176
jan/24;179,627;187,763
fev/24;182,712;187,955
mar/24;193,752;187,341
abr/24;193,915;188,526
mai/24;187,812;188,65
jun/24;189,559;191,735
jul/24;197,605;190,57
ago/24;195,439;190,273
set/24;191,763;191,921
out/24;193,934;190,786
nov/24;188,921;191,08
dez/24;185,687;191,306
jan/25;183,279;191,664
fev/25;188,53;192,526
mar/25;200,145;195,104
abr/25;197,113;194,342
